순번,관리번호,행정구역(구),행정구역(동),지번,교차로,고가,구분,재질,종류,신호등종류,경도,위도
1,9-945-09,해운대구,석대동,538-2,,지상,차량등,LED,1면3색,횡형3색,129.1205799,35.21805207
2,9-945-08,해운대구,석대동,538-2,,지상,차량등,LED,1면3색,횡형3색,129.1205784,35.21802825
3,9-945-07,해운대구,석대동,538-2,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1205769,35.21800320
4,9-945-06,해운대구,석대동,514-3,,지상,차량등,LED,1면3색,종형3색,129.1206454,35.21799262
5,9-945-05,해운대구,석대동,514-3,,지상,차량등,LED,1면3색,횡형3색,129.1206771,35.21807688
6,9-945-04,해운대구,석대동,514-3,,지상,차량등,LED,1면3색,횡형3색,129.1206797,35.21809188
7,9-945-03,해운대구,석대동,514-3,,지상,차량등,LED,1면3색,횡형3색,129.1206822,35.21810686
8,9-945-02,해운대구,석대동,514-3,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1206906,35.21815587
9,9-945-01,해운대구,석대동,514-3,,지상,차량등,LED,1면3색,종형3색,129.1206399,35.21816006
10,9-943-07,해운대구,우동,977-8,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1424027,35.16148559
11,9-943-06,해운대구,우동,977-8,,지상,차량등,LED,1면3색,종형3색,129.1424027,35.16148559
12,9-943-05,해운대구,우동,977-8,,지상,차량등,LED,1면3색,횡형3색,129.1424420,35.16144987
13,9-943-04,해운대구,우동,977-8,,지상,차량등,LED,1면3색,횡형3색,129.1424420,35.16144987
14,9-943-03,해운대구,우동,977-8,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1425063,35.16140210
15,9-943-02,해운대구,우동,977-8,,지상,차량등,LED,1면3색,횡형3색,129.1426186,35.16155628
16,9-943-01,해운대구,우동,977-8,,지상,차량등,LED,1면3색,횡형3색,129.1426186,35.16155628
17,9-942-12,해운대구,반송동,62-605,,지상,보행등,LED,1면2색,보행등,129.1564900,35.23009590
18,9-942-11,해운대구,반송동,62-605,,지상,차량등,LED,1면3색,횡형3색,129.1564764,35.23007524
19,9-942-10,해운대구,반송동,62-605,,지상,차량등,LED,1면3색,횡형3색,129.1565047,35.23007064
20,9-942-09,해운대구,반송동,216-290,,지상,차량등,LED,1면3색,횡형3색,129.1564638,35.23005616
21,9-942-08,해운대구,반송동,62-554,,지상,차량등,LED,1면3색,횡형3색,129.1565188,35.23004621
22,9-942-07,해운대구,반송동,62-554,,지상,차량등,LED,1면3색,횡형3색,129.1565188,35.23004621
23,9-942-06,해운대구,반송동,216-290,,지상,보행등,LED,1면2색,보행등,129.1564522,35.22995359
24,9-942-05,해운대구,반송동,62-605,,지상,보행등,LED,1면2색,보행등,129.1567960,35.23007284
25,9-942-04,해운대구,반송동,62-605,,지상,차량등,LED,1면3색,횡형3색,129.1567837,35.23009083
26,9-942-03,해운대구,반송동,62-605,,지상,차량등,LED,1면3색,횡형3색,129.1567685,35.23011302
27,9-942-02,해운대구,반송동,62-605,,지상,차량등,LED,1면3색,횡형3색,129.1567685,35.23011302
28,9-942-01,해운대구,반송동,Nov-70,,지상,보행등,LED,1면2색,보행등,129.1567219,35.23017167
29,9-941-06,해운대구,중동,1333-3,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1680415,35.16875239
30,9-941-05,해운대구,중동,1333-3,,지상,차량등,LED,1면3색,횡형3색,129.1680604,35.16873643
31,9-941-04,해운대구,중동,1333-3,,지상,차량등,LED,1면3색,횡형3색,129.1680882,35.16871300
32,9-941-03,해운대구,중동,1333-1,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1682688,35.16876278
33,9-941-02,해운대구,중동,1333-1,,지상,차량등,LED,1면3색,횡형3색,129.1682432,35.16877857
34,9-941-01,해운대구,중동,1333-1,,지상,차량등,LED,1면3색,횡형3색,129.1682138,35.16879665
35,9-940-06,해운대구,좌동,1271,,지상,보행등,LED,1면2색,보행등,129.1690627,35.17344109
36,9-940-05,해운대구,좌동,1271,,지상,차량등,LED,1면3색,횡형3색,129.1690491,35.17340559
37,9-940-04,해운대구,좌동,1271,,지상,차량등,LED,1면3색,횡형3색,129.1690395,35.17338045
38,9-940-03,해운대구,좌동,1271,,지상,보행등,LED,1면2색,보행등,129.1691196,35.17328051
39,9-940-02,해운대구,좌동,1271,,지상,차량등,LED,1면3색,횡형3색,129.1691340,35.17330420
40,9-940-01,해운대구,좌동,1271,,지상,차량등,LED,1면3색,횡형3색,129.1691503,35.17333112
41,9-938-18,해운대구,좌동,1402,,지상,차량등,LED,1면3색,횡형3색,129.1772716,35.17975343
42,9-938-17,해운대구,좌동,1402,,지상,차량등,LED,1면3색,횡형3색,129.1772388,35.17976183
43,9-938-16,해운대구,좌동,1402,,지상,보행등,LED,1면2색,보행등,129.1772057,35.17977035
44,9-938-15,해운대구,좌동,1402,,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.1769023,35.17899565
45,9-938-14,해운대구,좌동,1402,,지상,차량등,LED,1면3색,횡형3색,129.1769421,35.17898102
46,9-938-13,해운대구,좌동,1402,,지상,차량등,LED,1면3색,횡형3색,129.1769745,35.17896914
47,9-938-12,해운대구,좌동,1402,,지상,차량등,LED,1면3색,횡형3색,129.1770472,35.17907717
48,9-938-11,해운대구,좌동,1402,,지상,차량등,LED,1면3색,횡형3색,129.1770847,35.17906491
49,9-938-10,해운대구,좌동,1402,,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.1771131,35.17905561
50,9-938-09,해운대구,좌동,1402,,지상,보행등,LED,1면2색,보행등,129.1773882,35.17981445
51,9-938-08,해운대구,좌동,1402,,지상,차량등,LED,1면3색,횡형3색,129.1773604,35.17982020
52,9-938-07,해운대구,좌동,148-7,,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1776165,35.18039241
53,9-938-06,해운대구,좌동,147-3,,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1776037,35.18035998
54,9-938-05,해운대구,좌동,147-3,,지상,차량등,LED,1면4색,횡형4색,129.1775932,35.18042177
55,9-938-04,해운대구,좌동,1402,,지상,차량등,LED,1면3색,횡형3색,129.1773269,35.17982712
56,9-938-03,해운대구,좌동,147-3,,지상,차량등,LED,1면4색,횡형4색,129.1775534,35.18043114
57,9-938-02,해운대구,좌동,147-3,,지상,차량등,LED,1면3색,횡형3색,129.1774838,35.18032365
58,9-938-01,해운대구,좌동,147-3,,지상,차량등,LED,1면3색,횡형3색,129.1774498,35.18033233
59,9-921-21,해운대구,송정동,451-19,,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.1997940,35.18215495
60,9-921-20,해운대구,송정동,451-19,,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.1996089,35.18197402
61,9-921-19,해운대구,송정동,451-19,,지상,차량등,LED,1면3색,종형3색,129.1996089,35.18197402
62,9-921-18,해운대구,송정동,451-19,,지상,차량등,LED,1면3색,횡형3색,129.1996612,35.18188199
63,9-921-17,해운대구,송정동,451-19,,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.1994641,35.18166300
64,9-921-16,해운대구,송정동,451-19,,지상,차량등,LED,1면3색,종형3색,129.1994641,35.18166300
65,9-921-15,해운대구,송정동,451-19,,지상,차량등,LED,1면3색,횡형3색,129.1996947,35.18186751
66,9-921-14,해운대구,송정동,451-19,,지상,차량등,LED,1면3색,횡형3색,129.1996444,35.18165477
67,9-921-13,해운대구,송정동,460-9,,지상,차량등,LED,1면3색,횡형3색,129.1996787,35.18163926
68,9-921-12,해운대구,송정동,460-9,,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.1997286,35.18161662
69,9-921-11,해운대구,송정동,460-9,,지상,차량등,LED,1면3색,종형3색,129.1997286,35.18161662
70,9-921-10,해운대구,송정동,157-1,,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1998993,35.18187718
71,9-921-09,해운대구,송정동,157-1,,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1999159,35.18190149
72,9-921-08,해운대구,송정동,157-1,,지상,차량등,LED,1면4색,횡형4색,129.1999765,35.18207016
73,9-921-07,해운대구,송정동,157-1,,지상,차량등,LED,1면4색,횡형4색,129.1999313,35.18208902
74,9-921-06,해운대구,송정동,931,,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.2004732,35.18274036
75,9-921-05,해운대구,송정동,931,,지상,차량등,LED,1면3색,횡형3색,129.2004396,35.18275444
76,9-921-04,해운대구,송정동,931,,지상,차량등,LED,1면3색,횡형3색,129.2003982,35.18277174
77,9-921-03,해운대구,송정동,931,,지상,차량등,LED,1면3색,횡형3색,129.2002436,35.18273189
78,9-921-02,해운대구,송정동,136-23,,지상,차량등,LED,1면3색,횡형3색,129.2002136,35.18274481
79,9-921-01,해운대구,송정동,136-23,,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.2001838,35.18275760
80,9-920-13,해운대구,중동,1524-2,,지상,차량등,LED,1면4색,횡형4색,129.1821587,35.16472955
81,9-920-12,해운대구,중동,1524-2,,지상,차량등,LED,1면3색,횡형3색,129.1819177,35.16469443
82,9-920-11,해운대구,중동,1524-2,,지상,차량등,LED,1면3색,횡형3색,129.1819183,35.16466462
83,9-920-10,해운대구,중동,1524-2,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1819188,35.16464121
84,9-920-09,해운대구,중동,1524-2,,지상,차량등,LED,1면3색,횡형3색,129.1822136,35.16462178
85,9-920-08,해운대구,중동,1524-2,,지상,차량등,LED,1면3색,횡형3색,129.1822411,35.16460918
86,9-920-07,해운대구,중동,1524-2,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1822713,35.16459533
87,9-920-06,해운대구,중동,1524-2,,지상,보행등,LED,1면2색,보행등,129.1823333,35.16466460
88,9-920-05,해운대구,중동,1524-2,,지상,차량등,LED,1면3색,횡형3색,129.1823229,35.16472291
89,9-920-04,해운대구,중동,1524-2,,지상,차량등,LED,1면4색,횡형4색,129.1823667,35.16475460
90,9-920-03,해운대구,중동,1524-2,,지상,차량등,LED,1면4색,횡형4색,129.1823635,35.16478481
91,9-920-02,해운대구,중동,1524-2,,지상,보행등,LED,1면2색,보행등,129.1823613,35.16480639
92,9-920-01,해운대구,중동,1524-2,,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1822155,35.16478969
93,9-919-19,해운대구,좌동,1318,,지상,보행등,LED,1면2색,보행등,129.1803122,35.16767379
94,9-919-18,해운대구,좌동,1318,,지상,차량등,LED,1면4색,횡형4색,129.1802773,35.16767382
95,9-919-17,해운대구,좌동,1318,,지상,차량등,LED,1면4색,횡형4색,129.1802384,35.16767387
96,9-919-16,해운대구,좌동,1318,,지상,보행등,LED,1면2색,보행등,129.1800899,35.16774564
97,9-919-15,해운대구,좌동,1318,,지상,보행등,LED,1면2색,보행등,129.1800440,35.16771244
98,9-919-14,해운대구,좌동,1318,,지상,차량등,LED,1면4색,횡형4색,129.1800353,35.16768802
99,9-919-13,해운대구,좌동,1318,,지상,차량등,LED,1면4색,횡형4색,129.1800256,35.16766100
100,9-919-12,해운대구,좌동,1318,,지상,보행등,LED,1면2색,보행등,129.1799998,35.16757994
101,9-919-11,해운대구,좌동,1318,,지상,차량등,LED,1면4색,횡형4색,129.1804034,35.16753207
102,9-919-10,해운대구,좌동,1318,,지상,차량등,LED,1면4색,횡형4색,129.1803924,35.16750425
103,9-919-09,해운대구,좌동,1318,,지상,차량등,LED,1면4색,횡형4색,129.1803517,35.16746393
104,9-919-08,해운대구,좌동,1318,,지상,차량등,LED,1면4색,횡형4색,129.1803222,35.16745004
105,9-919-07,해운대구,좌동,1318,,지상,보행등,LED,1면2색,보행등,129.1809466,35.16733612
106,9-919-06,해운대구,좌동,1318,,지상,차량등,LED,1면3색,횡형3색,129.1809560,35.16736097
107,9-919-05,해운대구,좌동,1318,,지상,차량등,LED,1면3색,횡형3색,129.1809670,35.16738989
108,9-919-04,해운대구,좌동,1318,,지상,차량등,LED,1면3색,횡형3색,129.1808681,35.16744143
109,9-919-03,해운대구,좌동,1318,,지상,차량등,LED,1면3색,횡형3색,129.1808814,35.16747468
110,9-919-02,해운대구,좌동,1318,,지상,보행등,LED,1면2색,보행등,129.1809896,35.16746973
111,9-919-01,해운대구,좌동,1318,,지상,차량등,LED,1면3색,종형3색,129.1804527,35.16760918
112,9-901-06,해운대구,재송동,640-4,,지상,차량등,LED,1면3색,횡형3색,129.1248034,35.17819659
113,9-901-05,해운대구,재송동,640-4,,지상,차량등,LED,1면3색,횡형3색,129.1248034,35.17819659
114,9-901-04,해운대구,재송동,640-4,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1247422,35.17808840
115,9-901-03,해운대구,재송동,640-4,,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1248845,35.17823881
116,9-901-02,해운대구,재송동,640-4,,지상,차량등,LED,1면3색,횡형3색,129.1248320,35.17821145
117,9-901-01,해운대구,재송동,640-4,,지상,차량등,LED,1면3색,횡형3색,129.1248320,35.17821145
118,9-900-16,북구,금곡동,1224-2,금곡벽산블루밍정문,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.0136552,35.24749588
119,9-900-15,북구,금곡동,1224-2,금곡벽산블루밍정문,지상,차량등,LED,1면4색,횡형4색,129.0136475,35.24743907
120,9-900-14,북구,금곡동,1116-1,금곡벽산블루밍정문,지상,차량등,LED,1면4색,횡형4색,129.0136937,35.24737563
121,9-900-13,북구,금곡동,1116-1,금곡벽산블루밍정문,지상,차량등,LED,1면4색,횡형4색,129.0136897,35.24733400
122,9-900-12,북구,금곡동,1116-1,금곡벽산블루밍정문,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.0136855,35.24729076
123,9-900-11,북구,금곡동,1116-1,금곡벽산블루밍정문,지상,차량등,LED,1면3색 좌회전,횡형3색,129.0137384,35.24728928
124,9-900-10,북구,금곡동,1116-1,금곡벽산블루밍정문,지상,차량등,LED,1면3색 좌회전,횡형3색,129.0137798,35.24728812
125,9-900-09,북구,금곡동,1174,금곡벽산블루밍정문,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.0139177,35.24726655
126,9-900-08,북구,금곡동,1174,금곡벽산블루밍정문,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.0139177,35.24726655
127,9-900-07,북구,금곡동,1174,금곡벽산블루밍정문,지상,차량등,LED,1면4색,횡형4색,129.0139246,35.24733797
128,9-900-06,북구,금곡동,1174,금곡벽산블루밍정문,지상,차량등,LED,1면4색,횡형4색,129.0139514,35.24737698
129,9-900-05,북구,금곡동,1174,금곡벽산블루밍정문,지상,차량등,LED,1면4색,횡형4색,129.0139538,35.24740876
130,9-900-04,북구,금곡동,1174,금곡벽산블루밍정문,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.0139560,35.24743760
131,9-900-03,북구,금곡동,1174,금곡벽산블루밍정문,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.0139730,35.24748613
132,9-900-02,북구,금곡동,1174,금곡벽산블루밍정문,지상,차량등,LED,1면3색 좌회전,횡형3색,129.0139067,35.24744154
133,9-900-01,북구,금곡동,1174,금곡벽산블루밍정문,지상,차량등,LED,1면3색 좌회전,횡형3색,129.0138681,35.24744464
134,9-325-10,해운대구,중동,1340-1,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1773041,35.16310068
135,9-325-09,해운대구,중동,1340-1,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1774610,35.16306692
136,9-325-08,해운대구,중동,1340-1,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1775370,35.16318284
137,9-325-07,해운대구,중동,1340-1,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1775392,35.16311785
138,9-325-06,해운대구,중동,1340-1,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1775636,35.16313603
139,9-325-05,해운대구,중동,1340-1,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1775607,35.16316288
140,9-325-04,해운대구,중동,675-5,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1776267,35.16327641
141,9-325-03,해운대구,중동,675-5,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1776068,35.16329319
142,9-325-02,해운대구,중동,1339,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1776315,35.16335534
143,9-325-01,해운대구,중동,1340-1,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1776085,35.16333392
144,9-324-17,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1780790,35.16407785
145,9-324-16,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1780638,35.16404888
146,9-324-15,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1780204,35.16400463
147,9-324-14,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1779798,35.16394738
148,9-324-13,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1780096,35.16389110
149,9-324-12,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1780709,35.16387307
150,9-324-11,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1780858,35.16384637
151,9-324-10,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1781175,35.16383809
152,9-324-09,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1782235,35.16389933
153,9-324-08,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1782235,35.16389933
154,9-324-07,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1782471,35.16394112
155,9-324-06,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1782554,35.16396004
156,9-324-05,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1782846,35.16400666
157,9-324-04,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1782846,35.16400666
158,9-324-03,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1782427,35.16402229
159,9-324-02,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1782338,35.16410921
160,9-324-01,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1781764,35.16413229
161,9-323-13,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1770533,35.16447472
162,9-323-12,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1770232,35.16442366
163,9-323-11,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1769579,35.16442413
164,9-323-10,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1769400,35.16439615
165,9-323-09,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1769258,35.16437392
166,9-323-08,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1769258,35.16437392
167,9-323-07,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1769883,35.16434975
168,9-323-06,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1771905,35.16427097
169,9-323-05,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1772235,35.16432081
170,9-323-04,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1771578,35.16436566
171,9-323-03,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1771714,35.16438800
172,9-323-02,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1771539,35.16443028
173,9-323-01,해운대구,중동,1337,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1771266,35.16444120
174,9-322-13,해운대구,중동,718-11,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1756473,35.16511219
175,9-322-12,해운대구,중동,718-11,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1756237,35.16512836
176,9-322-11,해운대구,중동,718-11,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1756005,35.16514423
177,9-322-10,해운대구,중동,718-29,중동3구역 재개발아파트 주변,지상,차량등,LED,1면4색,횡형4색,129.1755799,35.16505174
178,9-322-09,해운대구,중동,750-14,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색 좌회전,횡형3색,129.1754933,35.16504583
179,9-322-08,해운대구,중동,743-7,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1755755,35.16494394
180,9-322-07,해운대구,중동,743-7,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1755884,35.16493023
181,9-322-06,해운대구,중동,743-7,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1756312,35.16488464
182,9-322-05,해운대구,중동,743-7,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1757323,35.16492851
183,9-322-04,해운대구,중동,743-7,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1757509,35.16495240
184,9-322-03,해운대구,중동,718-11,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1757696,35.16497636
185,9-322-02,해운대구,중동,718-11,중동3구역 재개발아파트 주변,지상,보행등,LED,1면2색,보행등,129.1757277,35.16500946
186,9-322-01,해운대구,중동,718-11,중동3구역 재개발아파트 주변,지상,차량등,LED,1면3색,횡형3색,129.1756752,35.16504650
187,9-319-14,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,차량등,LED,1면4색,횡형4색,129.1336292,35.16779128
188,9-319-13,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,차량등,LED,1면4색,횡형4색,129.1336090,35.16777966
189,9-319-12,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,차량등,LED,1면4색,횡형4색,129.1336090,35.16777966
190,9-319-11,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1334053,35.16775677
191,9-319-10,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1334063,35.16769379
192,9-319-09,해운대구,우동,1509,센텀호텔(벡스코주차장),지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1334665,35.16747432
193,9-319-08,해운대구,우동,1509,센텀호텔(벡스코주차장),지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1336427,35.16746951
194,9-319-07,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,차량등,LED,1면4색,횡형4색,129.1336711,35.16748119
195,9-319-06,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,차량등,LED,1면4색,횡형4색,129.1337078,35.16749628
196,9-319-05,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,차량등,LED,1면4색,횡형4색,129.1337078,35.16749628
197,9-319-04,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1338521,35.16757569
198,9-319-03,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,차량등,LED,1면4색,횡형4색,129.1337745,35.16771886
199,9-319-02,해운대구,우동,1510,센텀호텔(벡스코주차장),지상,차량등,LED,1면4색,횡형4색,129.1337574,35.16774107
200,9-319-01,해운대구,우동,1506,센텀호텔(벡스코주차장),지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1336827,35.16782223
201,9-317-19,해운대구,재송동,973-50,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1221312,35.18194642
202,9-317-18,해운대구,재송동,973-50,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1220973,35.18193013
203,9-317-17,해운대구,재송동,973-50,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1220973,35.18193013
204,9-317-16,해운대구,재송동,1007-9,해운대구청 신청사,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1219593,35.18196118
205,9-317-15,해운대구,재송동,342-2,해운대구청 신청사,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.1219979,35.18183450
206,9-317-14,해운대구,재송동,1007-9,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1220280,35.18179740
207,9-317-13,해운대구,재송동,1007-9,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1220498,35.18177064
208,9-317-12,해운대구,재송동,1007-9,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1220498,35.18177064
209,9-317-11,해운대구,재송동,1000-1,해운대구청 신청사,지상,보행등,LED,1면2색,보행등+시간표시등(도형),129.1220270,35.18162558
210,9-317-10,해운대구,재송동,973-50,해운대구청 신청사,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1221793,35.18162090
211,9-317-09,해운대구,재송동,973-50,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1222088,35.18163377
212,9-317-08,해운대구,재송동,973-50,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1222373,35.18164619
213,9-317-07,해운대구,재송동,973-50,해운대구청 신청사,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1223622,35.18163330
214,9-317-06,해운대구,재송동,973-50,해운대구청 신청사,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1223195,35.18175572
215,9-317-05,해운대구,재송동,973-50,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1222831,35.18178626
216,9-317-04,해운대구,재송동,973-50,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1222574,35.18180783
217,9-317-03,해운대구,재송동,973-50,해운대구청 신청사,지상,차량등,LED,1면4색,횡형4색,129.1222574,35.18180783
218,9-317-02,해운대구,재송동,973-50,해운대구청 신청사,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1222781,35.18194696
219,9-317-01,해운대구,재송동,973-50,해운대구청 신청사,지상,보행등,LED,1면2색,보행등+시간표시등(숫자),129.1221582,35.18195941
220,9-316-07,해운대구,중동,1114-2,해운대리조텔 앞,지상,차량등,LED,1면3색,종형3색,129.1667433,35.16221201
221,9-316-06,해운대구,중동,1150-8,해운대리조텔 앞,지상,차량등,LED,1면3색,횡형3색,129.1668366,35.16212069
222,9-316-05,해운대구,중동,1150-8,해운대리조텔 앞,지상,차량등,LED,1면3색,횡형3색,129.1668362,35.16209989
223,9-316-04,해운대구,중동,1150-8,해운대리조텔 앞,지상,보행등,LED,1면2색,보행등,129.1668360,35.16208670
224,9-316-03,해운대구,중동,1114-2,해운대리조텔 앞,지상,차량등,LED,1면3색,횡형3색,129.1669299,35.16215270
225,9-316-02,해운대구,중동,1114-2,해운대리조텔 앞,지상,차량등,LED,1면3색,횡형3색,129.1669321,35.16218363
