위도,경도,ref,name,name:ko,highway,public_transport
38.1019,127.1914,4320238,문혜4리(윗삼성리),문혜4리(윗삼성리),bus_stop,platform
38.09836,127.18862,4320176,하삼성리,하삼성리,bus_stop,platform
38.09474,127.18604,4320326,군탄사거리,군탄사거리,bus_stop,platform
38.09318,127.18517,4320178,군탄리,군탄리,bus_stop,platform
38.09027,127.18445,4320180,길병원,길병원,bus_stop,platform
38.08865,127.18458,4320182,갈말읍사무소,갈말읍사무소,bus_stop,platform
38.087,127.18519,4320184,신철원터미널,신철원터미널,bus_stop,platform
38.08727,127.18626,4320324,신철원2리(우체국),신철원2리(우체국),bus_stop,platform
38.11804,127.13485,4320227,차고지,차고지,bus_stop,platform
38.12397,127.13164,4320346,이평리,이평리,bus_stop,platform
38.12292,127.14189,4320046,이평6리,이평6리,bus_stop,platform
38.12493,127.15095,4320050,장흥3리(국방부사거리),장흥3리(국방부사거리),bus_stop,platform
38.12414,127.15275,4320201,직탕입구,직탕입구,bus_stop,platform
38.12526,127.16544,4320056,중간상사리,중간상사리,bus_stop,platform
38.13033,127.16149,4320052,윗상사리,윗상사리,bus_stop,platform
38.13445,127.16006,4320054,8127부대,8127부대,bus_stop,platform
38.12562,127.17125,4320278,아랫상사리,아랫상사리,bus_stop,platform
38.14678,127.17914,4320256,신동막,신동막,bus_stop,platform
38.14618,127.17177,4320058,동막리,동막리,bus_stop,platform
38.12464,127.17769,4320059,내대리,내대리,bus_stop,platform
38.12199,127.17942,4320062,내대보건진료소,내대보건진료소,bus_stop,platform
38.11981,127.18125,4320063,내대리입구(시라리),내대리입구(시라리),bus_stop,platform
38.11648,127.18506,4320065,독박골,독박골,bus_stop,platform
38.11561,127.18692,4320067,문혜3리,문혜3리,bus_stop,platform
38.1125,127.19069,4320342,8736부대,8736부대,bus_stop,platform
38.11088,127.19236,4320172,문혜사거리,문혜사거리,bus_stop,platform
38.10868,127.19461,4320327,승포회관,승포회관,bus_stop,platform
38.10651,127.19635,4320174,문혜3거리,문혜3거리,bus_stop,platform
38.1019,127.1914,4320238,문혜4리(윗삼성리),문혜4리(윗삼성리),bus_stop,platform
38.09836,127.18862,4320176,하삼성리,하삼성리,bus_stop,platform
38.09474,127.18604,4320326,군탄사거리,군탄사거리,bus_stop,platform
38.09318,127.18517,4320178,군탄리,군탄리,bus_stop,platform
38.09027,127.18445,4320180,길병원,길병원,bus_stop,platform
38.08865,127.18458,4320182,갈말읍사무소,갈말읍사무소,bus_stop,platform
38.087,127.18519,4320184,신철원터미널,신철원터미널,bus_stop,platform
38.08727,127.18626,4320324,신철원2리(우체국),신철원2리(우체국),bus_stop,platform
38.08739,127.18625,4320236,신철원2리(우체국),신철원2리(우체국),bus_stop,platform
38.08859,127.18478,4320183,갈말읍사무소,갈말읍사무소,bus_stop,platform
38.09029,127.18463,4320181,길병원,길병원,bus_stop,platform
38.0931,127.18528,4320179,군탄리,군탄리,bus_stop,platform
38.09472,127.18618,4320325,군탄사거리,군탄사거리,bus_stop,platform
38.09869,127.18923,4320177,하삼성리,하삼성리,bus_stop,platform
38.10137,127.19164,4320237,문혜4리(윗삼성리),문혜4리(윗삼성리),bus_stop,platform
38.10642,127.19654,4320175,문혜3거리,문혜3거리,bus_stop,platform
38.10873,127.19472,4320328,승포회관,승포회관,bus_stop,platform
38.11101,127.19252,4320173,문혜사거리,문혜사거리,bus_stop,platform
38.11259,127.19082,4320341,8736부대,8736부대,bus_stop,platform
38.11574,127.18705,4320068,문혜3리,문혜3리,bus_stop,platform
38.11657,127.18517,4320066,독박골,독박골,bus_stop,platform
38.11983,127.18134,4320064,내대리입구(시라리),내대리입구(시라리),bus_stop,platform
38.12205,127.17948,4320061,내대보건진료소,내대보건진료소,bus_stop,platform
38.12466,127.17781,4320060,내대리,내대리,bus_stop,platform
38.14678,127.17914,4320256,신동막,신동막,bus_stop,platform
38.14618,127.17177,4320058,동막리,동막리,bus_stop,platform
38.12585,127.17125,4320279,아랫상사리,아랫상사리,bus_stop,platform
38.13033,127.16149,4320052,윗상사리,윗상사리,bus_stop,platform
38.13445,127.16006,4320054,8127부대,8127부대,bus_stop,platform
38.12524,127.16539,4320055,중간상사리,중간상사리,bus_stop,platform
38.12562,127.17125,4320278,아랫상사리,아랫상사리,bus_stop,platform
38.12464,127.17769,4320059,내대리,내대리,bus_stop,platform
38.12199,127.17942,4320062,내대보건진료소,내대보건진료소,bus_stop,platform
38.11981,127.18125,4320063,내대리입구(시라리),내대리입구(시라리),bus_stop,platform
38.11648,127.18506,4320065,독박골,독박골,bus_stop,platform
38.11561,127.18692,4320067,문혜3리,문혜3리,bus_stop,platform
38.1125,127.19069,4320342,8736부대,8736부대,bus_stop,platform
38.11088,127.19236,4320172,문혜사거리,문혜사거리,bus_stop,platform
38.10868,127.19461,4320327,승포회관,승포회관,bus_stop,platform
38.10651,127.19635,4320174,문혜3거리,문혜3거리,bus_stop,platform
38.1019,127.1914,4320238,문혜4리(윗삼성리),문혜4리(윗삼성리),bus_stop,platform
38.09836,127.18862,4320176,하삼성리,하삼성리,bus_stop,platform
38.09474,127.18604,4320326,군탄사거리,군탄사거리,bus_stop,platform
