위도,경도,amenity,name,addr:full,source,source:date
33.28529333,126.2843128,restaurant,(주)아워홈 에스제이에이제주점 카페그랑,제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 10,공공데이터포털,2020-02-07
33.29064522,126.3221948,restaurant,(주)아워홈소인국테마파크제주점,제주특별자치도 서귀포시 안덕면 중산간서로 1878,공공데이터포털,2020-02-07
33.28727222,126.4052791,restaurant,(주)아코스롯데스카이힐제주CC대식당,제주특별자치도 서귀포시 상예로 530,공공데이터포털,2020-02-07
33.28727222,126.4052791,restaurant,(주)아코스롯데스카이힐제주CC스카이그늘집,제주특별자치도 서귀포시 상예로 530,공공데이터포털,2020-02-07
33.28727222,126.4052791,restaurant,(주)아코스롯데스카이힐제주CC스타트하우스,제주특별자치도 서귀포시 상예로 530,공공데이터포털,2020-02-07
33.28727222,126.4052791,restaurant,(주)아코스롯데스카이힐제주CC오션그늘집,제주특별자치도 서귀포시 상예로 530,공공데이터포털,2020-02-07
33.28727222,126.4052791,restaurant,(주)아코스롯데스카이힐제주CC포레스트그늘집,제주특별자치도 서귀포시 상예로 530,공공데이터포털,2020-02-07
33.28727222,126.4052791,restaurant,(주)아코스롯데스카이힐제주CC힐그늘집,제주특별자치도 서귀포시 상예로 530,공공데이터포털,2020-02-07
33.24802204,126.4086786,restaurant,더파크뷰,제주특별자치도 서귀포시 중문관광로72번길 75,공공데이터포털,2020-02-07
33.30497268,126.316352,restaurant,데판야(Teppanya),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,공공데이터포털,2020-02-07
33.44986322,126.9181684,restaurant,도렐,제주특별자치도 서귀포시 성산읍 동류암로 20,공공데이터포털,2020-02-07
33.30653711,126.307553,cafe,라바카페테리아(Larva`s Cafeteria),제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,공공데이터포털,2020-02-07
33.30497268,126.316352,restaurant,랜딩 다이닝(Landing Dining),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,공공데이터포털,2020-02-07
33.30653711,126.307553,restaurant,바이트푸드코트(Bite Food Court),제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,공공데이터포털,2020-02-07
33.25504273,126.5602314,restaurant,분식인,제주특별자치도 서귀포시 중앙로117번길 3,공공데이터포털,2020-02-07
33.43451965,126.9260285,cafe,빈스앤베리즈,제주특별자치도 서귀포시 성산읍 섭지코지로 93-15,공공데이터포털,2020-02-07
33.24787337,126.5822109,restaurant,서귀포흑돈,제주특별자치도 서귀포시 칠십리로 278,공공데이터포털,2020-02-07
33.30497268,126.316352,restaurant,스카이온파이브다이닝(Sky on 5 Dining),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,공공데이터포털,2020-02-07
33.25507165,126.4158559,cafe,스타벅스 제주중문DT,제주특별자치도 서귀포시 천제연로 95,공공데이터포털,2020-02-07
33.24952285,126.5067233,cafe,스타벅스 서귀포DT,제주특별자치도 서귀포시 일주서로 11,공공데이터포털,2020-02-07
33.44971096,126.9206949,cafe,스타벅스 제주성산DT점,제주특별자치도 서귀포시 성산읍 일출로 80,공공데이터포털,2020-02-07
33.30497268,126.316352,cafe,스타벅스 제주신화월드R,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,공공데이터포털,2020-02-07
33.29181966,126.2842896,cafe,스타벅스 제주에듀시티점,제주특별자치도 서귀포시 대정읍 에듀시티로 36,공공데이터포털,2020-02-07
33.20677723,126.2899731,cafe,스타벅스 제주송악산점,제주특별자치도 서귀포시 대정읍 형제해안로 322,공공데이터포털,2020-02-07
33.25121501,126.4128217,cafe,스타벅스 제주중문점,제주특별자치도 서귀포시 중문관광로110번길 32,공공데이터포털,2020-02-07
33.24781175,126.562019,cafe,스타벅스 제주서귀포점,제주특별자치도 서귀포시 중정로 53,공공데이터포털,2020-02-07
33.30497268,126.316352,restaurant,엠라운지(M Lounge),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,공공데이터포털,2020-02-07
33.30275091,126.3176104,restaurant,워터포인트(Water Point),제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,공공데이터포털,2020-02-07
33.30653711,126.307553,restaurant,윙클스비스트로(Wingcle´s Bistro),제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,공공데이터포털,2020-02-07
33.30653711,126.307553,restaurant,윙클스피자리아(Wingcle´s Pizzeria),제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,공공데이터포털,2020-02-07
33.30497268,126.316352,restaurant,제주선 (Jejuseon),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,공공데이터포털,2020-02-07
33.25277792,126.5080471,cafe,파스쿠찌 서귀포신시가지점,제주특별자치도 서귀포시 김정문화로27번길 10-1,공공데이터포털,2020-02-07
33.30275091,126.3176104,restaurant,파크사이드다이닝(Parkside Dining),제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,공공데이터포털,2020-02-07
33.44986322,126.9181684,restaurant,폼포코,제주특별자치도 서귀포시 성산읍 동류암로 20,공공데이터포털,2020-02-07
33.30497268,126.316352,cafe,풀사이드 카페(Poolside Cafe),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,공공데이터포털,2020-02-07
33.24802204,126.4086786,restaurant,호텔신라제주호텔일출,제주특별자치도 서귀포시 중문관광로72번길 75,공공데이터포털,2020-02-07
33.24802204,126.4086786,restaurant,호텔신라제주호텔천지,제주특별자치도 서귀포시 중문관광로72번길 75,공공데이터포털,2020-02-07
